image	score	reason	label	gemini_text	local_path
/images/UzpfSTEwMDAwMDM2OTIxMDcyNTpWSzoyNzgzNjI2NTg0NjAxNTQ5OA==_0.jpg	1.0	one_text_contains_the_other	豁達大度。今天的練習02	豁達大度	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTEwMDAwMDM2OTIxMDcyNTpWSzoyNzgzNjI2NTg0NjAxNTQ5OA==_0.jpg
/images/UzpfSTEwMDAwMDM2OTIxMDcyNTpWSzoyNzgzNjI2MjkzNjAxNTc4OQ==_0.jpg	1.0	one_text_contains_the_other	拔劍平四海，橫戈卻萬夫。今天的練習01	"拔
劍
平
四
海
橫
戈
卻
萬
夫"	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTEwMDAwMDM2OTIxMDcyNTpWSzoyNzgzNjI2MjkzNjAxNTc4OQ==_0.jpg
/images/UzpfSTEwMDAwMDM2OTIxMDcyNTpWSzoyNzgyMzk5NzUxMzkwODk5OA==_0.jpg	1.0	one_text_contains_the_other	朝乾夕惕。今天的練習02	"朝
乾
夕
惕"	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTEwMDAwMDM2OTIxMDcyNTpWSzoyNzgyMzk5NzUxMzkwODk5OA==_0.jpg
/images/UzpfSTEwMDAwMjgwNzA5MDE0OTpWSzoyNzgyNDcyOTQ3NzE2OTEzNQ==_0.jpg	0.624557	high_directional_coverage	"兩週沒動筆
實在是熱的汗都滴在紙上

無法寫字

今天下了雨

不流汗了

趕緊抓筆熟悉熟悉

這就是沒冷氣的無奈

題李凝幽居

唐-賈島

閒居少鄰並，草徑入荒園。

鳥宿池邊樹，僧敲月下門。

過橋分野色，移石動雲根。

暫去還來此，幽期不負言。"	"閒居少鄰並草徑入荒園鳥宿池邊
樹僧敲月下門過橋分野色移石動雲
根暫去還來此幽期不負言
唐賈島詩丙子三秋
許志深"	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTEwMDAwMjgwNzA5MDE0OTpWSzoyNzgyNDcyOTQ3NzE2OTEzNQ==_0.jpg
/images/UzpfSTYxNTg2OTI4MjY3NTAwOlZLOjI3ODIwNzcxOTc3NTY0ODg1_0.jpg	0.697552	one_text_contains_the_other	鶴鳴九皋✍️，瘦金體書法	鶴鳴九皋	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTYxNTg2OTI4MjY3NTAwOlZLOjI3ODIwNzcxOTc3NTY0ODg1_0.jpg
/images/UzpfSTYxNTcyODA0MTk3NzA2OlZLOjI3ODIyMDkxMzg3NDMyOTQ0_0.jpg	0.65572	high_directional_coverage	"他朝若是同淋雪
此生也算共白頭

（丙午 七夕）

-------------
肘間硯語 
   （「肘」藏豬腳意象，「硯語」彰顯書法哲學，時空交錯感）

#肉鋪裡的文房 
#萊茵河畔的蘭亭 
#巴伐利亞碑帖 
#鋼刀筆鋒
#油墨共生"	"時間硯語
他朝若是同淋雪
此生也算共白頭
丙午七夕大林書
TenbarLoft"	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTYxNTcyODA0MTk3NzA2OlZLOjI3ODIyMDkxMzg3NDMyOTQ0_0.jpg
/images/UzpfSTU0MjM2Mjc2MDpWSzoyNzgyMjQxMTc0MDczNDI0Mg==_0.jpg	0.67608	high_directional_coverage	"適逢七夕，揮毫練習舊詞，
秦觀《#鵲橋仙》
 
纖雲弄巧，飛星傳恨，銀漢迢迢暗度。
金風玉露一相逢，便勝卻人間無數。
柔情似水，佳期如夢，忍顧鵲橋歸路。
#兩情若是久長時，#又豈在朝朝暮暮。
 
人世聚散，最深的牽掛，未必困於朝夕相見。
 
#練字養心 #七夕 #秦觀 #宋詞 #隸書創作"	"纖雲弄巧飛星傳恨銀漢
迢迢暗度金風玉露一相
逢便勝却人間無數柔情
似水佳期如夢忍顧鵲橋
歸路兩情若是久長時又
豈在朝朝暮暮"	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTU0MjM2Mjc2MDpWSzoyNzgyMjQxMTc0MDczNDI0Mg==_0.jpg
/images/UzpfSTU0MjM2Mjc2MDpWSzoyNzgyMjQxMTc0MDczNDI0Mg==_1.jpg	0.695605	high_directional_coverage	"適逢七夕，揮毫練習舊詞，
秦觀《#鵲橋仙》
 
纖雲弄巧，飛星傳恨，銀漢迢迢暗度。
金風玉露一相逢，便勝卻人間無數。
柔情似水，佳期如夢，忍顧鵲橋歸路。
#兩情若是久長時，#又豈在朝朝暮暮。
 
人世聚散，最深的牽掛，未必困於朝夕相見。
 
#練字養心 #七夕 #秦觀 #宋詞 #隸書創作"	"纖雲弄巧飛星傳恨銀漢
迢迢暗度金風玉露一相
逢便勝卻人間無數柔情
似水佳期如夢忍顧鵲橋
歸路兩情若是久長時又
豈在朝朝暮暮"	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTU0MjM2Mjc2MDpWSzoyNzgyMjQxMTc0MDczNDI0Mg==_1.jpg
/images/UzpfSTU0MjM2Mjc2MDpWSzoyNzgyMjQxMTc0MDczNDI0Mg==_2.jpg	0.67608	high_directional_coverage	"適逢七夕，揮毫練習舊詞，
秦觀《#鵲橋仙》
 
纖雲弄巧，飛星傳恨，銀漢迢迢暗度。
金風玉露一相逢，便勝卻人間無數。
柔情似水，佳期如夢，忍顧鵲橋歸路。
#兩情若是久長時，#又豈在朝朝暮暮。
 
人世聚散，最深的牽掛，未必困於朝夕相見。
 
#練字養心 #七夕 #秦觀 #宋詞 #隸書創作"	"纖雲弄巧飛星傳恨銀漢
迢迢暗度金風玉露一相
逢便勝却人間無數柔情
似水佳期如夢忍顧鵲橋
歸路兩情若是久長時又
豈在朝朝暮暮"	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTU0MjM2Mjc2MDpWSzoyNzgyMjQxMTc0MDczNDI0Mg==_2.jpg
/images/UzpfSTEwMDAwMDM2OTIxMDcyNTpWSzoyNzgyNDAwNTIyMDU3NDg5NA==_0.jpg	0.841241	high_directional_coverage	半踏長裾宛約行，晚簾疏處見分明，此時堪恨昧平生，早是銷魂殘燭影，更愁聞著品絃聲，杳無消息若爲情。今天的練習03	"半踏長裾宛約行晚簾疏處見分
明此時堪恨昧平生早是消魂殘
燭影更愁聞著品弦聲杳無消
息若爲情
五代詞人孫光憲浣溪沙
丙午之秋"	/mnt/Suran_database/Users/thanhthanh_workspace/Project/NLP_K35/xlnntn_hp2_friend/data/mrDuc_data/Images/UzpfSTEwMDAwMDM2OTIxMDcyNTpWSzoyNzgyNDAwNTIyMDU3NDg5NA==_0.jpg
